Date,Change_Price,RSI,50MA,200MA,14-high,14-low,%K,SC,MACD,Log_Returns,Signal_MACD,Target
2019-01-22,-3.4570465087890625,56.51384884934927,250.8031790161133,260.5992172241211,266.9800109863281,243.6699981689453,37.53306560097405,44.525284287103126,0.9223471203037832,-0.013602730834065824,-0.580770487447341,0
2019-01-23,0.528167724609375,57.170515594874104,250.49649353027343,260.63527839660645,266.9800109863281,243.6699981689453,39.79890615948077,43.23192451998542,0.9515099603187025,0.002090238852767712,-0.16868818136907365,1
2019-01-24,0.1344146728515625,57.347039180443154,250.20223571777345,260.6659561920166,266.9800109863281,247.1699981689453,29.841196238992072,35.72438933314882,0.9609269111965375,0.0005312532022223593,0.1925450428533426,1
2019-01-25,2.1414642333984375,60.16402205371864,250.00312347412108,260.6877088928223,266.9800109863281,251.69000244140625,23.106623847607793,30.915575415360067,1.02808439136507,0.008425959997497401,0.5366975671862146,1
2019-01-28,-1.9397735595703125,56.52251312128178,249.86431427001952,260.7063381195068,266.9800109863281,254.0,-5.522078202991096,15.808580627869446,0.989398681798491,-0.007629337902871569,0.8199319991807258,0
2019-01-29,-0.3361053466796875,55.891268697105254,249.7285205078125,260.71302131652834,266.9800109863281,255.5,-22.23753711683596,-1.550997157406563,0.9304413081373184,-0.001327875296848191,1.042905378742496,0
2019-01-30,4.0044097900390625,61.419561395959654,249.70832946777344,260.7434166717529,268.5199890136719,255.5,11.148535412843177,-5.537026635661435,1.0145388033122913,0.01570701153432985,1.2779306922133458,1
2019-01-31,2.256591796875,64.14662740932354,249.67942565917969,260.77478187561036,270.4700012207031,256.4100036621094,19.901327927278725,2.9374420744285055,1.140650413563975,0.008743829919780843,1.5412794507008982,1
2019-02-01,0.1248779296875,64.29702823660537,249.639462890625,260.7932415008545,271.20001220703125,256.4100036621094,19.763370261163463,16.937744533761645,1.2186813523638307,0.000481651012903761,1.8070550855223304,1
2019-02-04,1.824462890625,66.50758037241238,249.72439575195312,260.81987686157225,272.0299987792969,257.80999755859375,23.540596745221166,21.06843164455431,1.320926070090195,0.007010581128214177,2.085409037243541,1
2019-02-05,1.09478759765625,67.79608101391648,249.9263122558594,260.85908256530763,273.44000244140625,259.9599914550781,17.004933067398966,20.102966691261056,1.41298478016148,0.004183297075131875,2.369768687891716,1
2019-02-06,-0.345703125,66.92058143645676,250.10413024902343,260.90734573364256,273.44000244140625,259.9599914550781,14.440371915700918,18.32863390944021,1.443627870845205,-0.0013190779826182109,2.632069317860944,0
2019-02-07,-2.4967041015625,60.81265537969094,250.265810546875,260.94331466674805,273.44000244140625,260.6600036621094,-9.782102561041132,7.221067474019442,1.349998756215939,-0.009578532962433606,2.8209610744289177,0
